Hero,Hero_picked,T_wins,T_lose,T_winrate,T_pickpercentage,Bs_picked,Bs_won,Bs_lost,Bs_winrate,Rs_picked,Rs_won,Rs_lost,Rs_winrate,Hero_banned,Ban_percentage,Pick&Ban,Pick&Ban percentage
Paquito,124,61,63,49.19%,72.09%,59,28,31,47.46%,65,33,32,50.77%,32,18.60%,156,90.70%
Esmeralda,108,52,56,48.15%,62.79%,58,29,29,50.00%,50,23,27,46.00%,33,19.19%,141,81.98%
Claude,79,39,40,49.37%,45.93%,42,21,21,50.00%,37,18,19,48.65%,36,20.93%,115,66.86%
Beatrix,78,51,27,65.38%,45.35%,39,21,18,53.85%,39,30,9,76.92%,45,26.16%,123,71.51%
Valentina,64,31,33,48.44%,37.21%,38,17,21,44.74%,26,14,12,53.85%,106,61.63%,170,98.84%
Yve,63,27,36,42.86%,36.63%,29,13,16,44.83%,34,14,20,41.18%,46,26.74%,109,63.37%
Mathilda,57,28,29,49.12%,33.14%,36,17,19,47.22%,21,11,10,52.38%,26,15.12%,83,48.26%
Chou,55,26,29,47.27%,31.98%,31,15,16,48.39%,24,11,13,45.83%,22,12.79%,77,44.77%
Lylia,53,31,22,58.49%,30.81%,25,14,11,56.00%,28,17,11,60.71%,15,8.72%,68,39.53%
Julian,50,26,24,52.00%,29.07%,16,7,9,43.75%,34,19,15,55.88%,64,37.21%,114,66.28%
Faramis,48,30,18,62.50%,27.91%,26,16,10,61.54%,22,14,8,63.64%,119,69.19%,167,97.09%
Ling,47,23,24,48.94%,27.33%,12,4,8,33.33%,35,19,16,54.29%,49,28.49%,96,55.81%
Wanwan,46,28,18,60.87%,26.74%,27,16,11,59.26%,19,12,7,63.16%,125,72.67%,171,99.42%
Akai,45,26,19,57.78%,26.16%,26,15,11,57.69%,19,11,8,57.89%,118,68.60%,163,94.77%
Grock,39,20,19,51.28%,22.67%,13,5,8,38.46%,26,15,11,57.69%,45,26.16%,84,48.84%
Ruby,38,16,22,42.11%,22.09%,19,8,11,42.11%,19,8,11,42.11%,22,12.79%,60,34.88%
Balmond,37,21,16,56.76%,21.51%,19,12,7,63.16%,18,9,9,50.00%,63,36.63%,100,58.14%
Lolita,31,16,15,51.61%,18.02%,17,7,10,41.18%,14,9,5,64.29%,9,5.23%,40,23.26%
Pharsa,30,13,17,43.33%,17.44%,14,6,8,42.86%,16,7,9,43.75%,9,5.23%,39,22.67%
Franco,28,17,11,60.71%,16.28%,10,6,4,60.00%,18,11,7,61.11%,50,29.07%,78,45.35%
Brody,28,11,17,39.29%,16.28%,10,2,8,20.00%,18,9,9,50.00%,16,9.30%,44,25.58%
Fredrinn,27,13,14,48.15%,15.70%,17,6,11,35.29%,10,7,3,70.00%,13,7.56%,40,23.26%
Masha,27,12,15,44.44%,15.70%,11,3,8,27.27%,16,9,7,56.25%,28,16.28%,55,31.98%
Melissa,27,12,15,44.44%,15.70%,16,6,10,37.50%,11,6,5,54.55%,17,9.88%,44,25.58%
Irithel,27,9,18,33.33%,15.70%,7,2,5,28.57%,20,7,13,35.00%,15,8.72%,42,24.42%
Aamon,26,17,9,65.38%,15.12%,14,10,4,71.43%,12,7,5,58.33%,19,11.05%,45,26.16%
Lancelot,26,17,9,65.38%,15.12%,13,9,4,69.23%,13,8,5,61.54%,7,4.07%,33,19.19%
Lunox,26,14,12,53.85%,15.12%,18,9,9,50.00%,8,5,3,62.50%,10,5.81%,36,20.93%
Fanny,26,9,17,34.62%,15.12%,19,6,13,31.58%,7,3,4,42.86%,131,76.16%,157,91.28%
Karina,25,14,11,56.00%,14.53%,15,7,8,46.67%,10,7,3,70.00%,13,7.56%,38,22.09%
Atlas,22,12,10,54.55%,12.79%,12,8,4,66.67%,10,4,6,40.00%,51,29.65%,73,42.44%
Diggie,22,9,13,40.91%,12.79%,9,2,7,22.22%,13,7,6,53.85%,29,16.86%,51,29.65%
Uranus,21,13,8,61.90%,12.21%,11,6,5,54.55%,10,7,3,70.00%,17,9.88%,38,22.09%
Dyrroth,20,9,11,45.00%,11.63%,9,4,5,44.44%,11,5,6,45.45%,38,22.09%,58,33.72%
Phoveus,18,10,8,55.56%,10.47%,4,2,2,50.00%,14,8,6,57.14%,35,20.35%,53,30.81%
Popol and Kupa,18,7,11,38.89%,10.47%,8,4,4,50.00%,10,3,7,30.00%,26,15.12%,44,25.58%
Kadita,16,12,4,75.00%,9.30%,9,6,3,66.67%,7,6,1,85.71%,63,36.63%,79,45.93%
Benedetta,16,7,9,43.75%,9.30%,9,5,4,55.56%,7,2,5,28.57%,10,5.81%,26,15.12%
Natalia,15,5,10,33.33%,8.72%,7,3,4,42.86%,8,2,6,25.00%,44,25.58%,59,34.30%
Baxia,12,5,7,41.67%,6.98%,5,1,4,20.00%,7,4,3,57.14%,2,1.16%,14,8.14%
Rafaela,12,5,7,41.67%,6.98%,5,1,4,20.00%,7,4,3,57.14%,5,2.91%,17,9.88%
Cecilion,12,2,10,16.67%,6.98%,6,0,6,0.00%,6,2,4,33.33%,6,3.49%,18,10.47%
Selena,11,5,6,45.45%,6.40%,6,2,4,33.33%,5,3,2,60.00%,16,9.30%,27,15.70%
Clint,11,4,7,36.36%,6.40%,5,2,3,40.00%,6,2,4,33.33%,1,0.58%,12,6.98%
Yu Zhong,10,7,3,70.00%,5.81%,5,3,2,60.00%,5,4,1,80.00%,10,5.81%,20,11.63%
Xavier,9,4,5,44.44%,5.23%,5,1,4,20.00%,4,3,1,75.00%,3,1.74%,12,6.98%
Bruno,8,2,6,25.00%,4.65%,4,1,3,25.00%,4,1,3,25.00%,4,2.33%,12,6.98%
Hilda,7,6,1,85.71%,4.07%,2,2,0,100.00%,5,4,1,80.00%,10,5.81%,17,9.88%
Khufra,7,2,5,28.57%,4.07%,4,1,3,25.00%,3,1,2,33.33%,6,3.49%,13,7.56%
Jawhead,6,3,3,50.00%,3.49%,5,2,3,40.00%,1,1,0,100.00%,2,1.16%,8,4.65%
Hayabusa,6,1,5,16.67%,3.49%,3,0,3,0.00%,3,1,2,33.33%,2,1.16%,8,4.65%
Thamuz,6,0,6,0.00%,3.49%,3,0,3,0.00%,3,0,3,0.00%,2,1.16%,8,4.65%
Kagura,5,2,3,40.00%,2.91%,2,1,1,50.00%,3,1,2,33.33%,2,1.16%,7,4.07%
Angela,5,1,4,20.00%,2.91%,2,1,1,50.00%,3,0,3,0.00%,3,1.74%,8,4.65%
Barats,5,1,4,20.00%,2.91%,3,1,2,33.33%,2,0,2,0.00%,7,4.07%,12,6.98%
Natan,5,1,4,20.00%,2.91%,3,1,2,33.33%,2,0,2,0.00%,2,1.16%,7,4.07%
Minotaur,4,1,3,25.00%,2.33%,4,1,3,25.00%,0,0,0,-,1,0.58%,5,2.91%
Gusion,3,2,1,66.67%,1.74%,0,0,0,-,3,2,1,66.67%,6,3.49%,9,5.23%
Kimmy,3,1,2,33.33%,1.74%,0,0,0,-,3,1,2,33.33%,0,0.00%,3,1.74%
Karrie,3,0,3,0.00%,1.74%,2,0,2,0.00%,1,0,1,0.00%,2,1.16%,5,2.91%
Edith,2,2,0,100.00%,1.16%,1,1,0,100.00%,1,1,0,100.00%,0,0.00%,2,1.16%
Estes,2,2,0,100.00%,1.16%,2,2,0,100.00%,0,0,0,-,5,2.91%,7,4.07%
Minsitthar,2,1,1,50.00%,1.16%,2,1,1,50.00%,0,0,0,-,1,0.58%,3,1.74%
Lapu-Lapu,1,1,0,100.00%,0.58%,0,0,0,-,1,1,0,100.00%,0,0.00%,1,0.58%
Lesley,1,1,0,100.00%,0.58%,1,1,0,100.00%,0,0,0,-,0,0.00%,1,0.58%
Miya,1,1,0,100.00%,0.58%,0,0,0,-,1,1,0,100.00%,0,0.00%,1,0.58%
Moskov,1,1,0,100.00%,0.58%,0,0,0,-,1,1,0,100.00%,0,0.00%,1,0.58%
Yi Sun-Shin,1,1,0,100.00%,0.58%,1,1,0,100.00%,0,0,0,-,0,0.00%,1,0.58%
Yin,1,1,0,100.00%,0.58%,1,1,0,100.00%,0,0,0,-,0,0.00%,1,0.58%
Gloo,1,0,1,0.00%,0.58%,0,0,0,-,1,0,1,0.00%,0,0.00%,1,0.58%
Harith,1,0,1,0.00%,0.58%,1,0,1,0.00%,0,0,0,-,0,0.00%,1,0.58%
Helcurt,1,0,1,0.00%,0.58%,1,0,1,0.00%,0,0,0,-,1,0.58%,2,1.16%
Khaleed,1,0,1,0.00%,0.58%,1,0,1,0.00%,0,0,0,-,0,0.00%,1,0.58%
Martis,1,0,1,0.00%,0.58%,1,0,1,0.00%,0,0,0,-,0,0.00%,1,0.58%
Belerick,0,0,0,-,0.00%,0,0,0,-,0,0,0,-,1,0.58%,1,0.58%
Layla,0,0,0,-,0.00%,0,0,0,-,0,0,0,-,1,0.58%,1,0.58%
Saber,0,0,0,-,0.00%,0,0,0,-,0,0,0,-,1,0.58%,1,0.58%
Zilong,0,0,0,-,0.00%,0,0,0,-,0,0,0,-,1,0.58%,1,0.58%
